links,公司名称,公司类型,内推码,备注,岗位(专业/岗位投递误区?(可点击)),工作地点,所属行业(新增),投递截止,投递进度,招聘公告,招聘对象,招聘类型,更新时间,相关链接
"[{'text': '投递', 'href': 'https://hairobotics.zhiye.com/campus'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/BXq54YcGyE5yBwdbspkXOA'}]",海柔创新,民企,-,-,运控算法工程师 感知算法工程师 运筹优化算法工程师 机械工程师 电气工程师 电机应用工程师 减速机应用工程师 硬件（本身）测试工程师 工艺工程师 嵌入式工程师 产品规划工程师 产品经理 Java开发工程师 软件测试工程师 软件测试开发工程师 战略分析岗 数据分析岗 产品市场岗（OP/BD/SE/区域） 交付运营岗（中/日区域） 项目助理（中/日区域） 销售助理（中/日区域） 解决方案岗（中/日区域 / 战略大客户 / 集成设备方向） 技术支持工程师（中/美/澳/韩/新区域） UI/UX设计 品牌设计 ID工业设计 采购工程师 物料计划工程师 国际物流工程师 供应商质量工程师 采购跟单 财务岗 人力资源岗,"北京,上海,苏州,盐城,杭州,厦门,青岛,武汉,广州,深圳,东莞,香港,海外",科技,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://mp.weixin.qq.com/s/_V50vMDZS0Lin-zShkqGWw'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/_V50vMDZS0Lin-zShkqGWw'}]",四川天奥空天信息技术有限公司,央国企,-,-,技术研发岗,成都,"科技,国企",招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://qr61.cn/ooqm3s/qUjJrnr'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/-a9yHMc-MS02-VCHFcqKmQ'}]",孚新工程,民企,-,-,软件类 测试类 硬件类 VMC AI大模型 机械设计 功能安全 信息安全,苏州,新能源,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://app.mokahr.com/campus-recruitment/swhysc-job/140752?locale=zh-CN#/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/dU9mZ0wDZaEH5w8mJMI1IA'}]",申万宏源证券,央国企,-,-,投资银行 投资交易 资产管理 财富管理 机构业务 金融科技 合规风控 财务运营 党群职能 分支机构财富顾问岗  需求专业为：经济金融、财会管理、信息技术、数理统计、理工类、 法律类等相关专业(详见岗位要求);复合专业背景优先,"北京,上海,长沙,广州,深圳,成都,全国","银行/金融,国企",2025-10-19,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://sunda.gllue.com/portal/portall'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/MiqBrqIvNoANb8wu8oJVvw'}]",森大集团,民企,-,-,快消销售储备 五金销售储备 计划储备 采购储备 仓储储备 运输储备 国内船务储备 财务储备 融资储备 审计储备 公关储备 环境安全储备 品质安全储备 快消生产管理储备 进出口储备 HRBP储备 行政储备,"全国,海外",其他,2026-06-30,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://job.cscec8b.com.cn/recruitment/job/detail/id/2677/'}, {'text': '公告', 'href': 'http://mp.weixin.qq.com/s?__biz=MzIzNjE2OTUwNA==&mid=2649801690&idx=1&sn=f02d26c396f5ebe2fc03a15287236b69&chksm=f0df9395c7a81a83b1ffea0b9e2e1347a3e9f3952e07cbccecd3ef8c9723a23daa6b3f0035b4#rd'}]",中建八局四公司,央国企,-,-,道桥类 港口航道与海岸工程 石油化工类 交通类 市政类 水利水电类 环境工程类 土木工程 工程管理 给排水科学与工程 电气工程及其自动化 安全工程 机械类 材料类 中国语言文学类 新闻传播学类 法学类 马克思主义类 财务管理 会计学 系统研发 智能控制 算法编程 智能建造 地下空间 基础建材,全国,地产/建筑,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://recruit.cscec.com/recruit#/portal_job_list?job_class=campus&company_id=1873&contract_unit=32042985'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/8myiS2Mq9If8bKEFhH4xCQ'}]",中建市政,央国企,-,-,道路桥梁与隧道工程 土木工程 交通运输 公路与城市道路工程 铁道工程 城市地下空间工程 市政工程 水利水电工程 岩土工程 结构工程 工程造价 工程管理 给排水工程 电气工程及其自动化 建筑环境与能源应用工程 测绘工程 安全工程 金融学 会计学 经济学 财务管理 工商管理 人力资源管理 行政管理 公共管理 法学,全国,国企,招满为止,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'http://mehire.51job.com/recommend/index.php?cid=2775372&did=1&sign=965e05efa3cc9373&pagecode=16&eventcode=2'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/eJlPRXFH1oEdTNmc_BmKlg'}]",金山电子,民企,-,-,（助理）电子工程师 （助理）软件工程师 （助理）机械工程师 销售工程师,深圳,"其他,科技",招满为止,未开始,公告,"2025届,2026届",秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://jobs.xkw.com/schoolrecruit/'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/D55cNaY2XT3dmPlO1R7bZw'}]",学科网,民企,-,-,技术类 产品类 运营类 教研类 职能类,北京,"互联网,教育",2025-10-31,未开始,公告,2026届,秋招,2025-09-04,投递
"[{'text': '投递', 'href': 'https://campus.cestc.cn/campus-recruitment/cestc/102244/#/jobs'}, {'text': '公告', 'href': 'https://mp.weixin.qq.com/s/LcCJc9aSr1bseY1Q0G1AYQ'}]",中国电子云,央国企,-,-,算法工程师 后端开发工程师 前端开发工程师 软件测试工程师 产品经理 交互设计师,北京,"国企,科技",2025-10-31,未开始,公告,2026届,秋招,2025-09-04,投递
